name_full,IronMan_Rank,Good_IronMan_Rank,team,pos,ADP,Good_IronMan_Score,IronMan_Score,DurabilityZ,ProductionZ,EfficiencyZ,MinutesZ,ValueZ,GP,MIN,Weighted_GP,GP_Median,Durability_Composite,Durability_Penalty,Seasons_Used,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,FG3M_PG,FG3_PCT,FT_PCT,TOV_PG,DD2_PG
Kawhi Leonard,164,164,LAC,"SF,PF",47.2,0.4573874113734771,0.4520868725900544,-0.01911922346923685,1.0818841583224132,0.16140718716103253,1.314269679171496,0.7630417059816204,37,1179.9566666666667,47.80000000000001,52.0,41.0488888888889,8.011111111111111,"2024-25,2023-24,2022-23",21.513513513513512,5.918918918918919,3.135135135135135,1.5945945945945945,0.4594594594594595,2.108108108108108,0.411,0.81,1.945945945945946,0.13513513513513514
Bogdan Bogdanović,165,212,LAC,"SG,SF",133.6,0.26326032926111076,0.4460801844523483,0.4530899615389678,0.11713223858102377,0.17585724606557074,0.5939080488452939,0.15485627215139275,54,1347.6583333333333,61.50000000000001,54.0,52.30555555555556,6.944444444444445,"2024-25,2023-24,2022-23",10.796296296296296,2.9444444444444446,2.7037037037037037,0.7592592592592593,0.2037037037037037,1.9444444444444444,0.363,0.879,1.3703703703703705,0.018518518518518517
Jonathan Kuminga,166,209,GSW,"SF,PF",132.0,0.26840456355469633,0.4413643426243242,0.504268096485075,0.25025273812198573,-0.16701885144063972,0.5300686103493562,0.1327182582469138,47,1144.08,57.10000000000001,67.0,53.52555555555556,6.544444444444444,"2024-25,2023-24,2022-23",15.297872340425531,4.617021276595745,2.2127659574468086,0.8085106382978723,0.44680851063829785,0.9787234042553191,0.305,0.668,1.5106382978723405,0.0425531914893617
Isaiah Stewart,167,204,DET,C,135.8,0.29811468936680596,0.3865743344396679,0.4346788838488841,0.12294934535628518,0.3753169884236913,0.07010168438408525,0.27415464829026526,72,1433.8483333333334,62.00000000000001,50.0,51.866666666666674,6.533333333333333,"2024-25,2023-24,2022-23",6.041666666666667,5.541666666666667,1.7083333333333333,0.3888888888888889,1.4027777777777777,0.2361111111111111,0.321,0.759,0.9444444444444444,0.027777777777777776
Deandre Ayton,168,178,LAL,C,66.7,0.40979779417143825,0.37341657512919213,0.08118619219927128,1.0424851822014658,-0.19835377794428277,1.1324444107080998,0.44838247833482203,40,1205.62,47.20000000000001,55.0,43.440000000000005,6.1000000000000005,"2024-25,2023-24,2022-23",14.4,10.15,1.6,0.775,0.975,0.15,0.188,0.667,1.725,0.5
Zach LaVine,169,222,SAC,"PG,SG",61.7,0.23958461982433177,0.36576963560390724,-0.25151829527368974,0.8459577238274566,0.009044242014125015,1.654803943474874,0.5286336204978076,74,2602.48,59.60000000000001,74.0,35.50888888888889,28.41111111111111,"2024-25,2023-24,2022-23",23.2972972972973,4.256756756756757,4.1891891891891895,0.7837837837837838,0.16216216216216217,3.22972972972973,0.446,0.825,2.810810810810811,0.08108108108108109
Adem Bona,170,226,PHI,C,142.4,0.22155789676971946,0.3613443575398562,0.6919678682773991,-0.12361504845225371,-0.0289161558016936,-0.3785730366275892,0.1413743058677149,58,904.55,58.0,58.0,57.99999999999999,0.0,2024-25,5.810344827586207,4.224137931034483,0.46551724137931033,0.4482758620689655,1.1896551724137931,0.0,0.0,0.67,1.0517241379310345,0.05172413793103448
Shaedon Sharpe,171,242,POR,"SG,SF",88.7,0.15637354338158907,0.3572127040879043,0.025626686866156708,0.4619029955730573,-0.19319164797048277,1.2510689936636683,0.281607427085788,72,2252.33,60.800000000000004,72.0,42.11555555555555,22.044444444444444,"2024-25,2023-24,2022-23",18.541666666666668,4.5,2.75,0.8611111111111112,0.2222222222222222,2.0416666666666665,0.311,0.785,2.0833333333333335,0.041666666666666664
Jalen Suggs,172,230,ORL,PG,102.8,0.18997168529693714,0.34758970759860386,-0.2022977939047564,0.8850151085270586,-0.4155762027599186,0.976720195455216,0.5441293846573971,35,1002.4533333333334,48.80000000000001,53.0,36.68222222222222,13.37777777777778,"2024-25,2023-24,2022-23",16.2,4.0285714285714285,3.6857142857142855,1.457142857142857,0.9428571428571428,2.1714285714285713,0.314,0.882,2.914285714285714,0.0
Tre Jones,173,213,CHI,"PG,SG",139.8,0.26269675360761713,0.3468009080419253,0.4474967227470439,-0.08851470153160834,0.5955197256072144,0.04503757421144132,0.152160282574772,46,904.9716666666667,57.500000000000014,68.0,52.17222222222223,8.477777777777778,"2024-25,2023-24,2022-23",7.173913043478261,2.5217391304347827,4.173913043478261,0.8043478260869565,0.21739130434782608,0.41304347826086957,0.396,0.821,0.7608695652173914,0.021739130434782608
Jordan Clarkson,174,251,NYK,"PG,SG",137.2,0.12874856236737553,0.3323363957588283,0.04846574526651406,0.4016443832031306,-0.2564774451024118,0.7036197242796947,0.20021766465447702,37,962.47,44.800000000000004,55.0,42.66,5.2,"2024-25,2023-24,2022-23",16.216216216216218,3.189189189189189,3.72972972972973,0.8378378378378378,0.24324324324324326,2.27027027027027,0.362,0.797,2.324324324324324,0.0
Jusuf Nurkić,175,205,UTA,C,137.9,0.2859561634277854,0.3292792354690329,0.3539498039521106,0.4809052359451392,-0.23992926265557263,0.16621573718095106,0.15189457100963635,51,1062.8266666666666,58.60000000000001,52.0,49.94222222222223,6.677777777777777,"2024-25,2023-24,2022-23",8.882352941176471,7.803921568627451,2.2549019607843137,0.7843137254901961,0.6666666666666666,0.6274509803921569,0.305,0.664,1.9019607843137254,0.19607843137254902
Dereck Lively II,176,231,DAL,C,108.0,0.18457049436718148,0.2823357437241715,-0.1146820387454262,0.6290444822421847,-0.1058724151576095,0.40430776883543734,0.5506274124397867,36,832.7366666666667,42.33333333333334,45.5,38.770833333333336,4.5125,"2024-25,2023-24",8.722222222222221,7.5,2.361111111111111,0.5555555555555556,1.5555555555555556,0.0,0.0,0.63,1.1388888888888888,0.2222222222222222
LaMelo Ball,177,187,CHA,"PG,SG",28.1,0.3797575085535344,0.27824221938622745,-0.3799763461948835,1.6405440656762809,-0.6223478961951228,1.3266723034998162,0.7894490845004425,47,1504.475,38.400000000000006,36.0,32.446666666666665,5.233333333333334,"2024-25,2023-24,2022-23",25.19148936170213,4.9361702127659575,7.361702127659575,1.148936170212766,0.2765957446808511,3.8085106382978724,0.339,0.843,3.5531914893617023,0.2765957446808511
Kris Dunn,178,259,LAC,"PG,SG",140.4,0.09320735930146415,0.27755526340059994,-0.05696680596125727,0.27688082116438834,0.026208766101058604,0.5042384801950185,0.25056799430157617,74,1782.9183333333333,66.40000000000002,66.0,40.14666666666668,26.133333333333333,"2024-25,2023-24,2022-23",6.405405405405405,3.391891891891892,2.8378378378378377,1.7297297297297298,0.36486486486486486,1.0135135135135136,0.335,0.682,1.0,0.0
Cade Cunningham,179,179,DET,"PG,SG",8.4,0.407921368474089,0.24308716329143543,-0.5276378503016835,1.9015388361212868,-0.7081951292687622,1.6401725821952071,0.8021772623758646,70,2451.9466666666667,61.80000000000001,62.0,28.92666666666667,32.93333333333333,"2024-25,2023-24,2022-23",26.142857142857142,6.071428571428571,9.114285714285714,1.0142857142857142,0.7571428571428571,2.1285714285714286,0.356,0.846,4.414285714285715,0.44285714285714284
Mark Williams,180,219,PHX,C,83.4,0.24596982648063298,0.23303199348802717,-0.4112052627831271,1.1541826719225363,-0.25610568587565363,0.7661551980020103,0.6799588941460293,44,1171.045,36.400000000000006,43.0,31.702222222222225,6.677777777777777,"2024-25,2023-24,2022-23",15.25,10.159090909090908,2.477272727272727,0.7272727272727273,1.2272727272727273,0.0,0.0,0.804,1.6136363636363635,0.4772727272727273
Khris Middleton,181,270,WAS,"SF,PF",141.2,0.04306902761538699,0.1931419491622578,-0.23417925501872455,0.2378114518607399,0.2080807443929042,0.368686937430915,0.28006792596338026,37,843.1816666666666,42.0,37.0,35.922222222222224,4.577777777777778,"2024-25,2023-24,2022-23",11.891891891891891,3.7027027027027026,4.054054054054054,0.9459459459459459,0.21621621621621623,1.2972972972972974,0.361,0.857,1.5135135135135136,0.0
Immanuel Quickley,182,250,TOR,"PG,SG",75.4,0.13015964713964462,0.18118930670309644,-0.32884482157204253,0.6264633029263148,0.05556127298967842,0.890409094923261,0.45041481933059063,33,917.7533333333333,48.300000000000004,68.0,33.66555555555556,20.544444444444448,"2024-25,2023-24,2022-23",17.09090909090909,3.5454545454545454,5.787878787878788,0.696969696969697,0.12121212121212122,2.5757575757575757,0.378,0.867,1.7575757575757576,0.06060606060606061
Keon Ellis,183,272,SAC,"PG,SG",140.5,0.0388467368745815,0.1784641414005894,-0.5347692297613874,0.3569528512200469,0.5498664414555885,0.5311353406355602,0.46663730748367677,80,1948.1916666666666,66.7,57.0,28.75666666666666,35.03333333333333,"2024-25,2023-24,2022-23",8.325,2.65,1.5,1.5125,0.7875,1.7375,0.433,0.849,0.8875,0.0
Lonzo Ball,184,268,CLE,"PG,SG",137.4,0.04505913579498505,0.17120491889751274,-0.272865823329534,0.3905020418117644,-0.00997675798953545,0.307618331967006,0.3156074864581156,35,777.03,35.0,35.0,35.0,0.0,2024-25,7.628571428571429,3.3714285714285714,3.2857142857142856,1.3428571428571427,0.4857142857142857,1.9142857142857144,0.344,0.815,1.1714285714285715,0.0
Chris Boucher,185,246,BOS,"PF,C",142.0,0.13486485936385087,0.1670050745926997,0.11763546499331072,-0.0015161586320530166,0.4420856840967389,-0.20712716243371568,0.1463630662779052,50,862.3,52.60000000000001,50.0,44.30888888888889,7.51111111111111,"2024-25,2023-24,2022-23",10.04,4.48,0.66,0.48,0.5,1.4,0.363,0.782,0.58,0.06
Cam Thomas,186,285,BKN,"SG,SF",83.2,-0.003048726619185059,0.16398985487866996,-0.48377753610834423,0.5560240577455232,-0.15973667637028327,1.2473192482895843,0.3404575465995314,25,781.1566666666666,40.50000000000001,57.0,29.972222222222225,15.477777777777778,"2024-25,2023-24,2022-23",23.96,3.32,3.76,0.6,0.08,2.72,0.349,0.881,2.48,0.04
Nikola Jović,187,293,MIA,PF,132.0,-0.02729357478854593,0.1529854352496238,-0.350378790920951,0.17574606387179723,0.21279758015557781,0.611233291705619,0.22583553653805735,46,1155.6766666666667,42.900000000000006,46.0,33.15222222222222,10.677777777777779,"2024-25,2023-24,2022-23",10.73913043478261,3.9130434782608696,2.847826086956522,0.8260869565217391,0.2826086956521739,1.6956521739130435,0.371,0.828,1.3043478260869565,0.0
Cam Whitmore,188,257,WAS,"SF,PF",141.7,0.10052449496896218,0.1403318630681189,0.3256107274063608,-0.16696950028881727,0.18534002060972382,-0.3150087719133063,-0.07268379401360409,51,826.585,49.66666666666667,49.0,49.266666666666666,0.2,"2024-25,2023-24",9.352941176470589,2.9607843137254903,0.9607843137254902,0.6078431372549019,0.2549019607843137,1.2745098039215685,0.355,0.75,0.9019607843137255,0.0392156862745098
Herbert Jones,189,337,NOP,"SF,PF",119.7,-0.1917718221583842,0.11064724640520317,-0.9420968447832707,0.5066938515112904,-0.08805312424796038,1.3678611244778298,0.40188987582431457,20,648.1316666666667,41.400000000000006,66.0,19.046666666666667,29.733333333333334,"2024-25,2023-24,2022-23",10.25,3.9,3.25,1.85,0.45,1.1,0.306,0.825,1.75,0.0
Brandon Miller,190,286,CHA,"SF,PF",50.6,-0.0034536935035069383,0.088142385903829,-1.0109985551512877,1.1782900932042766,-0.35185154362351256,1.5548087576695147,0.7058565181761944,27,923.565,42.66666666666667,50.5,17.404166666666665,27.6125,"2024-25,2023-24",21.037037037037038,4.851851851851852,3.6296296296296298,1.0740740740740742,0.7407407407407407,3.8518518518518516,0.355,0.861,2.814814814814815,0.07407407407407407
Brice Sensabaugh,191,288,UTA,"SF,PF",139.9,-0.01726844482531774,0.07596849351462633,-0.1873941430404418,-0.018355782397184748,0.32515762674866444,0.09642153231369097,0.08372125759515292,71,1431.9216666666666,58.0,51.5,37.037499999999994,19.0125,"2024-25,2023-24",10.873239436619718,2.9577464788732395,1.5492957746478873,0.647887323943662,0.11267605633802817,2.211267605633803,0.422,0.89,1.5070422535211268,0.0
Brandon Ingram,192,305,TOR,"SG,SF,PF",67.7,-0.0832922111614431,0.06466238936856965,-0.9088636842945873,0.9492055409346144,-0.4971447690872697,1.4354636987801337,0.5094684924137829,18,595.0316666666666,34.50000000000001,45.0,19.838888888888892,17.811111111111114,"2024-25,2023-24,2022-23",22.22222222222222,5.555555555555555,5.166666666666667,0.8888888888888888,0.6111111111111112,2.388888888888889,0.374,0.855,3.8333333333333335,0.0
Tari Eason,193,283,HOU,"SF,PF",114.0,0.0019595818241179633,0.06039292547191816,-0.8550287609223164,0.7617729519187574,0.19630952712770783,0.589652493690361,0.6100322026946333,57,1420.1933333333334,49.00000000000001,57.0,21.122222222222227,30.27777777777778,"2024-25,2023-24,2022-23",12.035087719298245,6.350877192982456,1.456140350877193,1.7017543859649122,0.8771929824561403,1.105263157894737,0.342,0.76,1.1403508771929824,0.10526315789473684
Daniss Jenkins,194,544,DET,PG,,-1.2424593142652434,0.0,-1.4474459696336268,-1.0629932167504084,-1.1914181985581467,-1.661155056753426,-0.20615957525665762,7,22.748333333333335,7.0,7.0,7.0,0.0,2024-25,1.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.14285714285714285,0.143,0.0,0.14285714285714285,0.0
Georges Niang,194,93,UTA,PF,,0.6605034176211587,0.0,1.5903352389069663,-0.10201981345663357,0.32588623720512805,0.23314265100373227,0.021323707016449107,79,1697.2333333333333,79.80000000000001,79.0,79.41555555555556,0.14444444444444446,"2024-25,2023-24,2022-23",9.924050632911392,3.4430379746835444,1.4050632911392404,0.35443037974683544,0.17721518987341772,2.1012658227848102,0.406,0.793,1.0379746835443038,0.012658227848101266
Dorian Finney-Smith,194,157,HOU,"SF,PF",,0.4879900429579881,0.0,0.9834688299831854,0.136787476489995,0.19943760184357953,1.0002387945626317,0.1573739195664331,63,1818.6783333333333,64.80000000000001,66.0,64.9488888888889,0.21111111111111114,"2024-25,2023-24,2022-23",8.714285714285714,3.9206349206349205,1.4285714285714286,0.9206349206349206,0.36507936507936506,2.0476190476190474,0.411,0.667,0.8888888888888888,0.0
Miles McBride,194,148,NYK,"PG,SG",,0.5080460633455645,0.0,0.971443366580548,0.1575215504320934,0.28230048270253916,0.5877889532731406,0.24416223014929284,64,1593.455,65.20000000000002,64.0,64.66222222222223,0.1777777777777778,"2024-25,2023-24,2022-23",9.546875,2.515625,2.921875,1.046875,0.265625,1.796875,0.369,0.813,0.640625,0.0
